"Character"|"Gender"|"Role"
"???"|"genderless"|""
"??? kwami"|"genderless"|""
"1st Passenger"|"genderless"|""
"2nd Passenger"|"genderless"|""
"Adrien"|"male"|""
"Adrien & Marinette"|"genderless"|""
"Adrien and Kagami"|"genderless"|""
"Adrien and Ladybug"|"genderless"|""
"Adrien and Luka"|"genderless"|""
"Adrien and Marinette"|"genderless"|""
"Adrien, Alya and Marinette"|"genderless"|""
"Adrien, Aurore & Mireille"|"genderless"|""
"Adrien, Luka, and Marinette"|"genderless"|""
"Adrien's bodyguard"|"male"|""
"Adrien's fans"|"genderless"|""
"Adrien's Headphones"|"genderless"|""
"Adrien's Phone"|"genderless"|""
"Adrien's voice recorder"|"genderless"|""
"Adrien's voicemail"|"genderless"|""
"Adrien's Voicemail"|"genderless"|""
"Akuma"|"genderless"|"villain"
"Akumatized Ladybug Illusion"|"female"|""
"Alarm voice"|"genderless"|""
"Albert"|"male"|""
"Alec"|"male"|""
"Alec & Marlena"|"genderless"|""
"Alim Kubdel"|"male"|""
"Alix"|"female"|""
"Alix & Adrien"|"genderless"|""
"Alix, Kim, Max and Mr. Damocles"|"genderless"|""
"All"|"genderless"|""
"All Girls"|"female"|""
"All the girls except Marinette"|"female"|""
"All the infected Parisians"|"genderless"|""
"All Three"|"genderless"|""
"Alya"|"female"|""
"Alya & Marinette"|"genderless"|""
"Alya and Marinette"|"genderless"|""
"Alya and Nino"|"genderless"|""
"Alya and Rena Furtive"|"genderless"|""
"Alya Césaire"|"female"|""
"Alya, Rose, and Juleka"|"genderless"|""
"Alya, Rose, Juleka, and Mylène"|"genderless"|""
"Amelie"|"female"|""
"Anansi"|"female"|"villain"
"Anarka"|"female"|""
"André"|"male"|""
"André and Audrey"|"genderless"|""
"André Bourgeois"|"male"|""
"André Glacier"|"male"|""
"André Heart Hunter"|"male"|""
"Animaestro"|"male"|"villain"
"Animan"|"male"|"villain"
"Anne-Jeanne"|"female"|""
"Announcement"|"male"|""
"Announcer"|"male"|""
"Antibug"|"female"|"villain"
"App"|"genderless"|""
"Aqua Ladybug"|"female"|""
"Aqua Noir"|"male"|""
"Aquabug"|"female"|""
"Aquabug & Aqua Noir"|"genderless"|""
"Arlette"|"female"|""
"Armand"|"male"|""
"Aspik"|"male"|""
"Astro Cat"|"male"|""
"Audience"|"genderless"|""
"Audrey"|"female"|""
"Audrey and André Heart Hunter"|"genderless"|""
"Audrey Heart Hunter"|"male"|""
"August"|"male"|""
"August's mother"|"female"|""
"Aurore"|"female"|""
"Aurore Beauréal"|"female"|""
"Automated voice"|"genderless"|""
"Backwarder"|"male"|"villain"
"Bakerix"|"male"|"villain"
"Barkk"|"genderless"|"kwami"
"Bear"|"genderless"|"kwami"
"Bear kwami"|"genderless"|"kwami"
"Beaver kwami"|"genderless"|"kwami"
"Befana"|"female"|"villain"
"Blue Knight In Movie"|"male"|""
"Bob"|"male"|""
"Bob Roth"|"male"|""
"Bodyguard"|"male"|""
"Both"|"genderless"|""
"Boy"|"male"|""
"Boy 1"|"male"|""
"Boy 2"|"male"|""
"Boys"|"male"|""
"Bubbler"|"male"|"villain"
"Buffalo kwami"|"genderless"|"kwami"
"Bunnyx"|"female"|""
"Bus driver"|"male"|""
"Bus Driver"|"male"|""
"Butler Jean"|"male"|""
"Bystander"|"male"|""
"Caline"|"female"|""
"Cameraman"|"male"|""
"Caprikid"|"male"|""
"Captain Hardrock"|"male"|"villain"
"Captain Hessenpy"|"male"|""
"Carapace"|"male"|""
"Carapace, Ladybug and Cat Noir"|"genderless"|""
"Carapace, Pegasus, Vesperia and Pigella"|"genderless"|""
"Cat Blanc"|"male"|"villain"
"Cat Noir"|"male"|""
"Cat Noir and Alix"|"genderless"|""
"Cat Noir and Jagged"|"genderless"|""
"Cat Noir and Ladybug"|"genderless"|""
"Cat Noir and Marinette"|"genderless"|""
"Cat Noir and Rena Furtive"|"genderless"|""
"Cat Noir Illusion"|"male"|""
"Cat Noir's voice"|"genderless"|""
"Cat Noir's voicemail"|"genderless"|""
"Cat Walker"|"male"|""
"Catalyst"|"female"|"villain"
"Chameleon"|"female"|"villain"
"Cheeses"|"genderless"|"kwami"
"Child"|"genderless"|""
"Child passenger"|"genderless"|""
"Children"|"genderless"|""
"Chloé"|"female"|""
"Chloé and Audrey"|"genderless"|""
"Chloé and Ladybug"|"genderless"|""
"Chloé and Marinette in unison"|"genderless"|""
"Chloé and Sabrina"|"genderless"|""
"Chorus"|"genderless"|""
"Chris"|"male"|""
"Christmaster"|"male"|"villain"
"Citizen 1"|"genderless"|""
"Citizen 2"|"genderless"|""
"Citizen 3"|"genderless"|""
"Citizen 4"|"genderless"|""
"Civilian"|"genderless"|""
"Civilian #1"|"genderless"|""
"Civilian #2"|"genderless"|""
"Civilian #3"|"genderless"|""
"Civilian 1"|"genderless"|""
"Civilian 2"|"genderless"|""
"Civilians"|"genderless"|""
"Clara"|"female"|""
"Clara Contard"|"female"|""
"Clara, Cameraman, and pilot"|"genderless"|""
"Class"|"genderless"|""
"Classmates"|"genderless"|""
"Claudie"|"female"|""
"Collector"|"male"|""
"Colonel Woof-Woof"|"male"|""
"Commentator"|"male"|""
"Commercial voice"|"genderless"|""
"Commercial voice and Marinette"|"genderless"|""
"Commuter"|"genderless"|""
"Computer"|"genderless"|""
"Computer voice"|"genderless"|""
"Copycat"|"male"|"villain"
"Cosmobug"|"female"|""
"Cosmobug and Astro Cat"|"genderless"|""
"Cucumber"|"genderless"|""
"Cyclist"|"male"|""
"Daizzi"|"genderless"|"kwami"
"Dark Cupid"|"male"|"villain"
"Dark Owl"|"male"|"villain"
"Darkblade"|"male"|"villain"
"Dearest Family"|"genderless"|""
"Deer kwami"|"genderless"|"kwami"
"Despair Bear"|"male"|"villain"
"Desperada"|"female"|"villain"
"Didier Roustan"|"male"|""
"Doctor"|"male"|""
"Doorman"|"male"|""
"Dormant Sentimonster"|"male"|"villain"
"Dough"|"genderless"|""
"Dragon Bug"|"female"|""
"Duusu"|"genderless"|"kwami"
"Ella"|"female"|""
"Ella and Etta"|"genderless"|""
"Ella, Etta, Manon, Chris"|"genderless"|""
"Ephemeral"|"male"|"villain"
"Etta"|"female"|""
"Etta & Ella"|"genderless"|""
"Everyone"|"genderless"|""
"Everyone except Marinette"|"genderless"|""
"Evillustrator"|"male"|""
"Evillustrator"|"male"|"villain"
"Falcon kwami"|"genderless"|"kwami"
"Fan"|"genderless"|""
"Fans"|"genderless"|""
"Feast"|"genderless"|"villain"
"Félix"|"male"|""
"Female civilian"|"female"|""
"Female commercial voice"|"female"|""
"Fire captain"|"male"|""
"Firefighter"|"male"|""
"Firefighters"|"genderless"|""
"Fireman"|"male"|""
"Firetruck Driver"|"male"|""
"Flairmidable"|"male"|""
"Flashback Alya"|"female"|""
"Fleeing girl"|"female"|""
"Fluff"|"genderless"|"kwami"
"Fred"|"male"|""
"Frightningale"|"female"|"villain"
"Froggy"|"male"|""
"Froggy's Dad"|"male"|""
"Froggy's Mom"|"female"|""
"Frozer"|"male"|"villain"
"Furious Fu"|"male"|"villain"
"Future Alix"|"female"|""
"Future Ladybug"|"female"|""
"Gabriel"|"male"|""
"Gabriel's voicemail"|"genderless"|""
"Game Voice"|"male"|""
"Gamer"|"male"|"villain"
"Gamer 2.0"|"male"|"villain"
"Gang of Secrets"|"genderless"|""
"Ghosts of The Guardians"|"genderless"|""
"Gigantian"|"male"|"villain"
"Gigantitan"|"male"|"villain"
"Gilbert"|"male"|""
"Gina"|"female"|""
"Girl"|"female"|""
"Girls"|"female"|""
"Glaciator"|"male"|"villain"
"Goose kwami"|"genderless"|"kwami"
"Gorizilla"|"male"|"villain"
"GPS voice"|"genderless"|""
"Guard 1"|"male"|""
"Guard 2"|"male"|""
"Guard 3"|"male"|""
"Guards"|"genderless"|""
"Guards 1"|"genderless"|""
"Guards 2"|"genderless"|""
"Guards in helicopter"|"genderless"|""
"Guitar Villain"|"male"|"villain"
"Harry"|"male"|""
"Harry and Marinette"|"genderless"|""
"Hawk Moth"|"male"|"villain"
"Helicopter Pilot"|"male"|""
"Heroes"|"genderless"|""
"Hessenpy"|"male"|""
"Horrificator"|"female"|"villain"
"Icecat"|"male"|""
"Ikari Gozen"|"female"|"villain"
"Italian couple"|"genderless"|""
"Ivan"|"male"|""
"Ivan, Mylène, Sabrina"|"genderless"|""
"Jade Turtle"|"male"|""
"Jagged"|"male"|""
"Jagged Stone"|"male"|""
"Jalil"|"male"|""
"Jean"|"male"|""
"Jean Duparc"|"male"|""
"Jean Tretiens"|"male"|""
"Jean-Pierre"|"male"|""
"Jeanne d'Arc"|"female"|""
"Journalist"|"genderless"|""
"Juleka"|"female"|""
"Juleka & Luka"|"genderless"|""
"Juleka & Rose"|"genderless"|""
"Juleka and Luka"|"genderless"|""
"Juleka, Rose, and Alya"|"genderless"|""
"Kaalki"|"genderless"|"kwami"
"Kagami"|"female"|""
"Kid"|"genderless"|""
